rank,name,CS Score (USNews),Research Overhead %,Admin Base Pay$,Tuition(out-state)$,Grad Student No.,TT Faculty,Lecturers,G-TT Ratio,G-TTL Ratio
1,University of California—​Berkeley ,5,57,400400,25064,n,,,,
5,University of Illinois—​Urbana-​Champaign ,4.6,58.6,512500,30228,n,59,,,
6,University of Washington ,4.5,54.5,550000,33513,214,59,,,
9,Georgia Institute of Technology ,4.3,55.9,440000,30698,n,37,,,
9,University of Texas—​Austin,4.3,55,628190,34722,176,42,,,
11,University of Wisconsin—​Madison ,4.2,53,437000,26660,368,35,,,
13,University of California—​Los Angeles ,4.1,54,416000,35580,n,,,,
13,University of Michigan—​Ann Arbor ,4.1,55,603357,41811,n,,,,
15,University of California—​San Diego,4,55,376827,36180,n,,,,
15,University of Maryland—​College Park,4,52,459000,29720,225,45,,,
20,Purdue University—​West Lafayette ,3.7,55,202487,28804,339,45,,,
25,University of Massachusetts—​Amherst ,3.6,59,363605,28813,254,,,,
25,University of North Carolina—​Chapel Hill ,3.6,52,482515,33624,n,28,,,
29,Pennsylvania State University—​University Park ,3.4,54.5,571668,30452,250,30,9,8.3333333333,6.4102564103
29,University of California—​Irvine ,3.4,54.5,392200,37635,501,,,,
29,University of Minnesota—​Twin Cities ,3.4,52,610000,20876,n,42,,,
29,University of Virginia ,3.4,58,485000,42184,75,27,,,
34,Ohio State University ,3.3,54,851303,26537,350,41,,,
34,"Rutgers, The State University of New Jersey—​New Brunswick",3.3,55,526549,28591,299,42,,,
34,University of California—​Davis ,3.3,57,400000,36774,63,33,3,1.9090909091,1.75
34,University of California—​Santa Barbara,3.3,53.5,315000,36624,97,,,,
40,Stony Brook University—​SUNY ,3.1,58,644455,21550,594,45,,,
40,Texas A&M University—​College Station,3.1,48.5,425000,26356,313,43,7,7.2790697674,6.26
40,University of Arizona ,3.1,53,475000,28379,60,18,,,
40,University of Colorado—​Boulder ,3.1,53.5,389000,33151,n,35,,,
40,University of Utah ,3.1,49,358850,25267,217,,,,
40,Virginia Tech ,3.1,61,496688,27444,247,46,,,
48,Arizona State University ,3,54.5,566200,23312,n,,,,
48,North Carolina State University ,3,51.5,464946,23551,685,57,4,12.0175438596,11.2295081967
48,University of Florida ,3,50,525166,28591,n,39,,,
52,Indiana University—​Bloomington ,2.9,56,544848,33241,575,39,,,
52,University of Pittsburgh ,2.9,54,580000,28168,83,18,,,
56,Michigan State University ,2.8,53.5,520000,34980,100,29,3,3.4482758621,3.125
56,University of California—​Riverside ,2.8,54,188294,36286,140,,,,
56,University of California—​Santa Cruz ,2.8,53.5,310000,36276,191,,,,
60,University of Illinois—​Chicago ,2.7,59.8,411752,26030,204,,,,
63,Iowa State University ,2.6,50,448800,20816,115,28,,,
63,University at Buffalo—​SUNY,2.6,59.5,643309,21550,635,37,4,17.1621621622,15.487804878
63,University of Iowa ,2.6,51,493272,27409,70,20,,,
63,University of Oregon ,2.6,45,403337,30888,n,,,,
67,George Mason University ,2.5,49.9,499194,29960,n,38,,,
67,Oregon State University ,2.5,46,485088,23540,260,,,,
70,College of William and Mary ,2.4,47,332100,39360,109,,,,
70,Colorado State University ,2.4,48.7,421000,26077,n,,,,
70,University of Maryland—​Baltimore County ,2.4,50.5,423074,21642,n,,,,
70,University of Nebraska—​Lincoln ,2.4,51,341053,21388,n,,,,
70,University of Tennessee—​Knoxville ,2.4,49,394956,29696,n,,,,
70,University of Texas—​Dallas ,2.4,53,518279,30378,n,,,,
70,Washington State University ,2.4,51,662500,25510,144,,,,
,Average,,,,,,37.75,,,
